year,month,day,open,high,low,close,adj-close,volume
2022,01,31,3.92,4.27,3.87,4.16,4.16,7851200
2022,02,01,4.24,4.56,4.14,4.47,4.47,5623600
2022,02,02,4.50,4.51,4.23,4.26,4.26,4132600
2022,02,03,4.14,4.22,3.95,3.96,3.96,4458800
2022,02,04,4.00,4.24,3.92,4.21,4.21,5580900
2022,02,07,4.22,4.42,4.16,4.18,4.18,3897300
2022,02,08,4.16,4.22,4.07,4.17,4.17,3210300
2022,02,09,4.28,4.65,4.26,4.64,4.64,6697000
2022,02,10,4.51,4.83,4.44,4.59,4.59,9350700
2022,02,11,4.48,4.81,4.29,4.49,4.49,15367500
2022,02,14,4.37,4.66,4.31,4.33,4.33,5225300
2022,02,15,4.46,4.66,4.40,4.63,4.63,4397800
2022,02,16,4.69,4.90,4.54,4.70,4.70,5462800
2022,02,17,4.62,4.72,4.34,4.38,4.38,4525600
2022,02,18,4.42,4.44,4.10,4.13,4.13,4862200
2022,02,22,4.01,4.10,3.85,3.89,3.89,5798700
2022,02,23,4.00,4.06,3.73,3.74,3.74,4866900
2022,02,24,3.53,3.86,3.47,3.84,3.84,6833700
2022,02,25,3.89,3.90,3.65,3.77,3.77,4128600
2022,02,28,3.70,3.89,3.65,3.80,3.80,3491100
2022,03,01,3.78,3.83,3.63,3.66,3.66,3848800
2022,03,02,3.68,3.70,3.52,3.68,3.68,3929000
2022,03,03,3.65,3.72,3.50,3.55,3.55,4050300
2022,03,04,3.51,3.56,3.29,3.34,3.34,4503600
2022,03,07,3.30,3.36,3.14,3.15,3.15,5930000
2022,03,08,3.19,3.38,3.12,3.28,3.28,7213100
2022,03,09,3.38,3.48,3.31,3.42,3.42,5902000
2022,03,10,3.36,3.39,3.21,3.33,3.33,3861200
2022,03,11,3.37,3.38,3.16,3.17,3.17,2679100
2022,03,14,3.18,3.18,2.89,2.93,2.93,6035200
